PC	H	varH	pvalNorm	signal	omega	R2	Ratio	dataset	gwas	contrasts
12	0.000154984789105589	8.94862556205441e-12	0	0.851088847002359	1.19207736272431e-05	0.746166793668765	0.876720211170499	HGDP1KG	e50	afr-amr
13	0.000154984789105589	8.94862556205441e-12	0	0.851088847002359	-3.43017595685347e-05	0.746167408112217	0.876720933120333	HGDP1KG	e50	afr-amr
14	0.000154984789105589	8.94862556205441e-12	0	0.851088847002359	-0.000840071660738835	0.74653550697049	0.877153436565267	HGDP1KG	e50	afr-amr
15	0.000154984789105589	8.94862556205441e-12	0	0.851088847002359	0.000316489724996157	0.746587751168177	0.877214821693119	HGDP1KG	e50	afr-amr
16	0.000154984789105589	8.94862556205441e-12	0	0.851088847002359	-0.000194984595442642	0.74660757873326	0.87723811839728	HGDP1KG	e50	afr-amr
17	0.000154984789105589	8.94862556205441e-12	0	0.851088847002359	0.00126334786113292	0.747440059769711	0.878216254862565	HGDP1KG	e50	afr-amr
18	0.000154984789105589	8.94862556205441e-12	0	0.851088847002359	-0.000236725727008106	0.747469288132659	0.878250597179529	HGDP1KG	e50	afr-amr
19	0.000154984789105589	8.94862556205441e-12	0	0.851088847002359	0.000361189889161774	0.74753733285578	0.878330547379042	HGDP1KG	e50	afr-amr
20	0.000154984789105589	8.94862556205441e-12	0	0.851088847002359	-6.89242909752045e-05	0.747539811484397	0.878333459682059	HGDP1KG	e50	afr-amr
21	0.000154984789105589	8.94862556205441e-12	0	0.851088847002359	0.000297438115770692	0.747585956883805	0.878387678932576	HGDP1KG	e50	afr-amr
22	0.000154984789105589	8.94862556205441e-12	0	0.851088847002359	-0.000138535203523694	0.747595967506091	0.878399441068011	HGDP1KG	e50	afr-amr
23	0.000154984789105589	8.94862556205441e-12	0	0.851088847002359	-0.00114137147945852	0.748275474730862	0.879197838588041	HGDP1KG	e50	afr-amr
24	0.000154984789105589	8.94862556205441e-12	0	0.851088847002359	-0.000209930257919734	0.748298460698585	0.879224846306218	HGDP1KG	e50	afr-amr
25	0.000154984789105589	8.94862556205441e-12	0	0.851088847002359	-0.00013748603717966	0.748308320442736	0.879236431165055	HGDP1KG	e50	afr-amr
26	0.000154984789105589	8.94862556205441e-12	0	0.851088847002359	-0.000823529922383244	0.748662067137926	0.879652071314067	HGDP1KG	e50	afr-amr
27	0.000154984789105589	8.94862556205441e-12	0	0.851088847002359	8.85612718370341e-05	0.748666158046012	0.879656877989775	HGDP1KG	e50	afr-amr
28	0.000154984789105589	8.94862556205441e-12	0	0.851088847002359	-0.00160617799728747	0.750011760433007	0.881237914319571	HGDP1KG	e50	afr-amr
29	0.000154984789105589	8.94862556205441e-12	0	0.851088847002359	-0.00108897894864219	0.750630301990113	0.881964679285748	HGDP1KG	e50	afr-amr
30	0.000154984789105589	8.94862556205441e-12	0	0.851088847002359	0.000289674374015965	0.750674069874436	0.882016105038156	HGDP1KG	e50	afr-amr
31	0.000154984789105589	8.94862556205441e-12	0	0.851088847002359	0.000254750495472686	0.75070791957541	0.882055877267686	HGDP1KG	e50	afr-amr
32	0.000154984789105589	8.94862556205441e-12	0	0.851088847002359	0.00017267632021012	0.750723472648495	0.882074151591383	HGDP1KG	e50	afr-amr
33	0.000154984789105589	8.94862556205441e-12	0	0.851088847002359	-0.000360180133074028	0.750791137603046	0.882153655575943	HGDP1KG	e50	afr-amr
34	0.000154984789105589	8.94862556205441e-12	0	0.851088847002359	-0.000121832793503021	0.750798880052748	0.882162752686931	HGDP1KG	e50	afr-amr
35	0.000154984789105589	8.94862556205441e-12	0	0.851088847002359	-0.000630677182586389	0.751006346040924	0.8824065180575	HGDP1KG	e50	afr-amr
36	0.000154984789105589	8.94862556205441e-12	0	0.851088847002359	-0.000182906649850848	0.751023795088916	0.882427020086229	HGDP1KG	e50	afr-amr
37	0.000154984789105589	8.94862556205441e-12	0	0.851088847002359	-0.00110659077853982	0.751662520432056	0.883177500303881	HGDP1KG	e50	afr-amr
38	0.000154984789105589	8.94862556205441e-12	0	0.851088847002359	0.000118571856094864	0.751669853892145	0.8831861168662	HGDP1KG	e50	afr-amr
39	0.000154984789105589	8.94862556205441e-12	0	0.851088847002359	-1.87619607847379e-05	0.751670037431888	0.883186332519059	HGDP1KG	e50	afr-amr
40	0.000154984789105589	8.94862556205441e-12	0	0.851088847002359	0.000490093316907409	0.751795319431202	0.883333534541216	HGDP1KG	e50	afr-amr
1	7.8485357308839e-05	2.48258402972286e-11	5.8904954550389e-34	0.693233339299451	0.0560872447741459	0.127615814867214	0.184087820987052	HGDP1KG	e200	sdi-eur
2	7.8485357308839e-05	2.48258402972286e-11	5.8904954550389e-34	0.693233339299451	0.0654116213952648	0.301190393534428	0.434471881919005	HGDP1KG	e200	sdi-eur
3	7.8485357308839e-05	2.48258402972286e-11	5.8904954550389e-34	0.693233339299451	-0.0239048501386534	0.324372254483063	0.467912081105127	HGDP1KG	e200	sdi-eur
4	7.8485357308839e-05	2.48258402972286e-11	5.8904954550389e-34	0.693233339299451	-0.0623794544754437	0.482227645482775	0.69562096648452	HGDP1KG	e200	sdi-eur
5	7.8485357308839e-05	2.48258402972286e-11	5.8904954550389e-34	0.693233339299451	-0.00946409171984239	0.485861221293323	0.700862456765728	HGDP1KG	e200	sdi-eur
6	7.8485357308839e-05	2.48258402972286e-11	5.8904954550389e-34	0.693233339299451	0.00108337157215835	0.485908834798975	0.700931139996833	HGDP1KG	e200	sdi-eur
