PC	H	varH	signal	B	lcB	ucB	B2	R2	lcR2	ucR2	Ratio	lcRatio	ucRatio	dataset	gwas	contrasts
15	7.60928763338203e-05	5.02323142980459e-12	0.744666289637325	-0.0086331836049529	-0.0148310399475881	-0.0024353272623177	7.45318591568275e-05	0.582694248558784			0.782490434530847			InUKBB	e10	RepublicOfIrelend-Scotland
16	7.60928763338203e-05	5.02323142980459e-12	0.744666289637325	-0.0153038607499734	-0.0215012222106002	-0.00910649928934664	0.000234208153854577	0.582928456706568			0.782804948764998			InUKBB	e10	RepublicOfIrelend-Scotland
17	7.60928763338203e-05	5.02323142980459e-12	0.744666289637325	0.000294938211801977	-0.00590314884304161	0.00649302526664556	8.69885487809476e-08	0.582928543691485			0.7828050655756			InUKBB	e10	RepublicOfIrelend-Scotland
18	7.60928763338203e-05	5.02323142980459e-12	0.744666289637325	0.00386819884699001	-0.00232984210638788	0.0100662398003679	1.49629623198548e-05	0.582943506635106			0.782825159064226			InUKBB	e10	RepublicOfIrelend-Scotland
19	7.60928763338203e-05	5.02323142980459e-12	0.744666289637325	-0.00616294886985015	-0.0123609184854707	3.50207457704118e-05	3.79819387723872e-05	0.582981488635964			0.782876164462733			InUKBB	e10	RepublicOfIrelend-Scotland
20	7.60928763338203e-05	5.02323142980459e-12	0.744666289637325	-0.00895464257370462	-0.0151524813943991	-0.00275680375301011	8.01856236228032e-05	0.583061674354091			0.782983844532643			InUKBB	e10	RepublicOfIrelend-Scotland
21	7.60928763338203e-05	5.02323142980459e-12	0.744666289637325	0.00779698624517399	0.00159908732375686	0.0139948851665911	6.07929945074323e-05	0.583122467354412			0.7830654824437			InUKBB	e10	RepublicOfIrelend-Scotland
22	7.60928763338203e-05	5.02323142980459e-12	0.744666289637325	0.00129777184159354	-0.0049003102633834	0.00749585394657049	1.6842117528331e-06	0.583124151572942			0.783067744152809			InUKBB	e10	RepublicOfIrelend-Scotland
23	7.60928763338203e-05	5.02323142980459e-12	0.744666289637325	-0.0112655970411971	-0.0174632910421166	-0.00506790304027749	0.000126913676694628	0.583251065276485			0.783238174458717			InUKBB	e10	RepublicOfIrelend-Scotland
24	7.60928763338203e-05	5.02323142980459e-12	0.744666289637325	0.00732512422929619	0.00112720319386675	0.0135230452647256	5.3657444974622e-05	0.583304722759254			0.783310230201694			InUKBB	e10	RepublicOfIrelend-Scotland
25	7.60928763338203e-05	5.02323142980459e-12	0.744666289637325	0.00981641458596068	0.00361862589876116	0.0160142032731602	9.63619953234616e-05	0.583401084742862			0.783439633110014			InUKBB	e10	RepublicOfIrelend-Scotland
26	7.60928763338203e-05	5.02323142980459e-12	0.744666289637325	-0.00485501307461611	-0.0110530273505815	0.00134300120134926	2.35711519546934e-05	0.583424655879451			0.783471286398095			InUKBB	e10	RepublicOfIrelend-Scotland
27	7.60928763338203e-05	5.02323142980459e-12	0.744666289637325	-0.00805110362279013	-0.0142489900631141	-0.00185321718246613	6.48202695449043e-05	0.583489476110087			0.783558332409896			InUKBB	e10	RepublicOfIrelend-Scotland
28	7.60928763338203e-05	5.02323142980459e-12	0.744666289637325	-0.00834796139058641	-0.0145458327436702	-0.00215009003750262	6.96884593787214e-05	0.583559164538691			0.783651915843943			InUKBB	e10	RepublicOfIrelend-Scotland
29	7.60928763338203e-05	5.02323142980459e-12	0.744666289637325	-0.00175053703519472	-0.0079486148629652	0.00444754079257576	3.06437991158832e-06	0.58356222892739			0.783656030960663			InUKBB	e10	RepublicOfIrelend-Scotland
30	7.60928763338203e-05	5.02323142980459e-12	0.744666289637325	-0.001958022356038	-0.00815609779917818	0.00424005308710217	3.83385154674461e-06	0.583566062774667			0.783661179370535			InUKBB	e10	RepublicOfIrelend-Scotland
31	7.60928763338203e-05	5.02323142980459e-12	0.744666289637325	-0.00979061655073116	-0.0159884068055732	-0.00359282629588911	9.58561724434509e-05	0.583661918942099			0.78378990302671			InUKBB	e10	RepublicOfIrelend-Scotland
32	7.60928763338203e-05	5.02323142980459e-12	0.744666289637325	0.00378042012084408	-0.00241762291320366	0.00997846315489181	1.42915762900827e-05	0.583676210463653			0.783809094873788			InUKBB	e10	RepublicOfIrelend-Scotland
33	7.60928763338203e-05	5.02323142980459e-12	0.744666289637325	-6.63924624183233e-05	-0.00626447977318277	0.00613169484834612	4.40795906596847e-09	0.583676214871419			0.783809100792903			InUKBB	e10	RepublicOfIrelend-Scotland
