#FID	IID	SEX
4879444	4879444	2
3446254	3446254	1
5129388	5129388	1
2069212	2069212	1
1942022	1942022	2
4083340	4083340	2
3430893	3430893	2
1328340	1328340	1
5121293	5121293	2
3608964	3608964	1
3127012	3127012	1
3398044	3398044	1
2368229	2368229	1
2939848	2939848	1
4901095	4901095	2
2907859	2907859	2
2170259	2170259	1
3578238	3578238	1
2136036	2136036	1
1466655	1466655	2
1248555	1248555	2
1154285	1154285	1
4075558	4075558	2
1271770	1271770	1
1671414	1671414	2
5562927	5562927	1
3565589	3565589	1
1106556	1106556	2
5840029	5840029	1
1453325	1453325	1
3274370	3274370	1
3295305	3295305	1
2255202	2255202	2
5810301	5810301	2
3446613	3446613	2
5300935	5300935	1
1066676	1066676	1
2844535	2844535	2
5919654	5919654	1
2734762	2734762	2
5759213	5759213	2
3883980	3883980	2
3580215	3580215	2
1089977	1089977	2
2649730	2649730	1
4379070	4379070	2
2333358	2333358	1
4440605	4440605	1
1616143	1616143	1
3569069	3569069	2
3073918	3073918	2
4884845	4884845	1
1164193	1164193	1
2895951	2895951	2
2198060	2198060	1
2563192	2563192	1
5131582	5131582	2
1046876	1046876	1
3885462	3885462	2
4115839	4115839	1
1200080	1200080	2
1475012	1475012	2
5044005	5044005	1
4784843	4784843	1
5447661	5447661	2
3693225	3693225	1
1699761	1699761	2
1592194	1592194	2
2097541	2097541	1
5661982	5661982	1
6008111	6008111	2
2109817	2109817	2
1657837	1657837	1
1898918	1898918	2
1096066	1096066	1
1561263	1561263	1
1728311	1728311	1
5422883	5422883	1
2847756	2847756	2
2493628	2493628	1
1298408	1298408	1
1300916	1300916	2
1350009	1350009	2
3679669	3679669	2
3203009	3203009	2
5299069	5299069	1
4310852	4310852	2
2989598	2989598	1
5073815	5073815	2
2973521	2973521	2
4076407	4076407	1
1467727	1467727	1
2663369	2663369	2
4591325	4591325	1
4507899	4507899	1
4895046	4895046	1
3914089	3914089	2
2118671	2118671	2
3680867	3680867	1
2590670	2590670	1
1631699	1631699	2
5860556	5860556	1
5380683	5380683	1
5389255	5389255	2
5083643	5083643	2
3104718	3104718	2
4966308	4966308	2
3314715	3314715	1
5314130	5314130	2
3850683	3850683	1
3951144	3951144	2
5026502	5026502	1
2519512	2519512	2
2010039	2010039	1
1939056	1939056	2
1013590	1013590	1
3181101	3181101	1
4744451	4744451	1
2438008	2438008	1
5079859	5079859	1
2691700	2691700	1
5727204	5727204	2
2004518	2004518	2
3910206	3910206	2
1500492	1500492	2
5344502	5344502	1
5068324	5068324	1
1610358	1610358	2
1707142	1707142	1
2450692	2450692	2
5471578	5471578	2
2570773	2570773	2
5102179	5102179	2
5296749	5296749	2
4879517	4879517	2
1652433	1652433	2
5551873	5551873	1
4162637	4162637	1
1899393	1899393	1
5416561	5416561	2
2477210	2477210	1
1985843	1985843	2
2440109	2440109	2
3856016	3856016	2
3655416	3655416	2
2884940	2884940	1
4322007	4322007	2
2334904	2334904	2
1233651	1233651	2
4621713	4621713	2
2440542	2440542	1
5874018	5874018	1
3834809	3834809	1
3407251	3407251	2
4094662	4094662	1
1546435	1546435	2
1960865	1960865	2
1592588	1592588	1
5615454	5615454	2
3915661	3915661	1
4472749	4472749	2
4071306	4071306	1
4012186	4012186	1
5208642	5208642	1
3275508	3275508	2
1014207	1014207	1
2585537	2585537	2
3408412	3408412	1
4327187	4327187	2
4737186	4737186	2
3204786	3204786	1
1245456	1245456	2
1420819	1420819	2
1091734	1091734	1
1979636	1979636	2
3561305	3561305	2
1533064	1533064	1
3327805	3327805	2
2373597	2373597	2
4349780	4349780	1
1344955	1344955	1
4031834	4031834	2
5553580	5553580	1
5168902	5168902	2
3374440	3374440	1
5968677	5968677	1
2464693	2464693	2
2150416	2150416	1
4364247	4364247	2
3218358	3218358	1
3947322	3947322	2
4186582	4186582	1
5184833	5184833	2
2617599	2617599	1
5612605	5612605	1
5391133	5391133	1
5796791	5796791	2
3603605	3603605	2
2270472	2270472	2
2422467	2422467	2
4523360	4523360	1
5229586	5229586	2
5794494	5794494	2
2852718	2852718	1
1718793	1718793	2
5907127	5907127	2
4140028	4140028	1
4213408	4213408	2
5420558	5420558	1
5476915	5476915	1
2712370	2712370	2
1419442	1419442	1
2881561	2881561	2
3262536	3262536	2
3883481	3883481	2
3321444	3321444	2
5050518	5050518	1
4272585	4272585	2
2561025	2561025	2
3058724	3058724	2
1384427	1384427	1
5898154	5898154	2
5499740	5499740	2
4696909	4696909	2
2879975	2879975	2
5069875	5069875	1
4168101	4168101	2
4274979	4274979	2
3385573	3385573	1
1243672	1243672	2
5914425	5914425	1
3729586	3729586	1
1281759	1281759	2
6020922	6020922	2
2143573	2143573	1
3050786	3050786	1
1231685	1231685	1
4805111	4805111	2
1844448	1844448	1
5411817	5411817	2
4723166	4723166	1
2929835	2929835	2
4271474	4271474	1
3781045	3781045	2
1849774	1849774	2
5735663	5735663	2
3656038	3656038	1
3787878	3787878	1
4453740	4453740	2
3002150	3002150	2
5967044	5967044	2
2089349	2089349	2
2374672	2374672	2
5988920	5988920	2
3407558	3407558	2
1310732	1310732	1
4298628	4298628	1
3793607	3793607	2
1651567	1651567	1
5962221	5962221	2
1115285	1115285	2
4270686	4270686	2
3907815	3907815	2
1997263	1997263	1
5146198	5146198	2
3037388	3037388	1
1457103	1457103	1
4445539	4445539	2
1510055	1510055	1
5690334	5690334	2
3878462	3878462	1
2714916	2714916	1
2876347	2876347	1
5225128	5225128	2
4772750	4772750	1
1192025	1192025	2
1377065	1377065	1
1336819	1336819	1
5150161	5150161	2
5695362	5695362	1
1439150	1439150	2
5706039	5706039	1
5567997	5567997	1
2066443	2066443	2
3434770	3434770	2
3900374	3900374	1
2151263	2151263	2
1316206	1316206	1
4882093	4882093	1
2784178	2784178	1
1066003	1066003	2
2112403	2112403	2
1987874	1987874	1
4743580	4743580	1
2557194	2557194	2
1198940	1198940	2
1712803	1712803	1
5505930	5505930	2
5202611	5202611	2
3131796	3131796	1
1383737	1383737	2
5900836	5900836	1
1394595	1394595	2
3988804	3988804	2
3273476	3273476	1
1430248	1430248	2
3074088	3074088	1
2687010	2687010	2
5403120	5403120	2
3384717	3384717	1
5324535	5324535	1
2588305	2588305	1
2477371	2477371	2
4958937	4958937	2
4755863	4755863	2
5182435	5182435	2
1315006	1315006	1
2487351	2487351	2
5421753	5421753	1
5059516	5059516	1
4313734	4313734	1
3537117	3537117	2
2246050	2246050	1
4958255	4958255	2
4126256	4126256	2
1374289	1374289	1
2012541	2012541	2
1714874	1714874	2
4852894	4852894	1
1628524	1628524	2
5105854	5105854	1
4386343	4386343	1
1647841	1647841	1
2129251	2129251	1
1998391	1998391	2
5270186	5270186	1
1788033	1788033	2
2289367	2289367	1
4597999	4597999	2
5403099	5403099	2
3133124	3133124	1
4370422	4370422	2
1419296	1419296	1
2802501	2802501	1
1185521	1185521	2
5015154	5015154	1
2921709	2921709	1
4250916	4250916	1
3638051	3638051	2
1846409	1846409	2
2245110	2245110	1
2301551	2301551	1
5030602	5030602	2
1094317	1094317	1
1072768	1072768	2
5910235	5910235	1
4364296	4364296	2
1406133	1406133	2
2798354	2798354	1
2519652	2519652	2
4079343	4079343	2
2781242	2781242	2
3922946	3922946	1
